97,Corey Bojorquez,corey-bojorquez,BUF,buffalo-bills,22,P,8,0,,,,,0,1,0,0,0,0,0,0,0,0,,0,39.6,,0,0,0,,
98,Tyler Boyd,tyler-boyd,CIN,cincinnati-bengals,24,WR,14,14,,,,,0,1,0,0,0,0,0,0,0,0,,0,39.6,3,0,0,0,,
99,Antonio Brown,antonio-brown,PIT,pittsburgh-steelers,30,WR,15,15,,,,,0,1,0,0,0,0,0,0,0,0,,0,39.6,3.1,0,0,0,,
100,Eric Ebron,eric-ebron,IND,indianapolis-colts,25,te/wr,16,8,,,,,0,1,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,,
101,Bruce Ellington,bruce-ellington,2TM,,27,,7,3,,,,,0,1,0,0,0,0,0,0,0,0,,0,39.6,2.2,0,0,0,0,0
102,Dontrell Hilliard,dontrell-hilliard,CLE,cleveland-browns,23,,11,0,,,,,0,1,0,0,0,0,1,100,0,0,,0,0,0,0,0,0,,
103,DeAndre Hopkins,deandre-hopkins,HOU,houston-texans,26,WR,16,16,,,,,0,1,0,0,0,0,0,0,0,0,,0,39.6,3.2,0,0,0,,
104,Zay Jones,zay-jones,BUF,buffalo-bills,23,WR,16,15,,,,,0,1,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,,
105,JK Scott,jk-scott,GB,green-bay-packers,22,P,16,0,,,,,0,1,0,0,0,0,0,0,0,0,,0,39.6,,0,0,0,,
106,Dede Westbrook,dede-westbrook,JAX,jacksonville-jaguars,25,WR,16,9,,,,,0,1,0,0,0,0,0,0,0,0,,0,39.6,11.1,0,0,0,,
